a,A,a,,,"Columna A: Palabras del diccionario o comunes, estas palabras contienen caracteres especiales",,
aarón,AAH R OH N,aaroqn,,,Columna B: Se eliminan los caracteres especiales (ir a página de fonemas ),,
abadón,A B A D OH N,abadoqn,,,Colunma C: Palabras separadas por fonemas (ir a página de fonemas),,
abajo,A B A J O ,abajo,,,,,
abati',A B A T IH,abatiqq,,,,,
abba,A B B A,abba,,,,,
abel,A B E L,abel,,,,,
abelardo,A B E L A R D O,abelardo,,,,,
abías,A B IH A S,abiqas,,,,,
abiatar,A B I A T A R,abiatar,,,,,
abilene,A B I L E N E,abilene,,,,,
abismo,A B I S M O,abismo,,,,,
abogadu,A B O G A D U,abogadu,,,,,
abono,A B O N O,abono,,,,,
abrahán,A B R AAH N,abrahaqn,,,,,
abusar,A B U S A R,abusar,,,,,
aca,A K A,aca,,,,,
acabe,A K A B E,acabe,,,,,
acaico,A K A I K O,acaico,,,,,
acaya,A K A Y A,acaya,,,,,
aceite,A S E I T E,aceite,,,,,
aceptar,A S E P T A R,aceptar,,,,,
acompañartu,A K O M P A GN A R T U,acompanwartu,,,,,
acostado,A K O S T A D O ,acostado,,,Colunma C: Palabras separadas por fonemas (ir a página de fonemas),,
acuerdu,A K U E R D U,acuerdu,,,,,
adán,A D AH N,adaq,,,,,
adí,A D IH,adiq,,,,,
adios,A D I O S,adios,,,,,
adivinar,A D I B I N A R,adivinar,,,,,
adolfo,A D O L F O,adolfo,,,,,
adoptar,A D O P T A R,adoptar,,,,,
adoptarbe,A D O P T A R B E,adoptarbe,,,,,
adorar,A D O R A R,adorar,,,,,
adorarbe,A D O R A R B E,adorarbe,,,,,
adorarca',A D O R A R K AH,adorarcaqq,,,,,
adorárcabe,A D O R AH R K A B E,adoraqrcabe,,,,,
adorardu,A D O R A R D U,adorardu,,,,,
adorarlu',A D O R A R L UH,adorarluqq,,,,,
adorarnu,A D O R A R N U,adorarnu,,,,,
adorartu,A D O R A R T U,adorartu,,,,,
adorno,A D O R N O,adorno,,,,,
adramitio,A D R A M I T I O,adramitio,,,,,
adria,A D R I A,adria,,,,,
adrian,A D R I A N,adrian,,,,,
adu,A D U,adu,,,,,
adxé,A DX EH,adxeq,,,,,
ágabo,AH G A B O,aqgabo,,,,,
agar,A G A R,agar,,,,,
agripa,A G R I P A,agripa,,,,,
aguxa',A G U X AH,aguxaqq,,,,,
ah,A H,ah,,,,,
ahogar,A H O G A R,ahogar,,,,,
ahorrar,A H O RF A R,ahorrar,,,,,
aja,A J A,aja,,,,,
aja',A J AH,ajaqq,,,,,
ajenjo,A J E N J O,ajenjo,,,,,
akéldama,A K EH L D A M A,akeqldama,,,,,
al,A L,al,,,,,
alan,A L A N ,alan ,,,,,
alban,A L B A N ,alban,,,,,
alberto,A L B E R T O,alberto,,,,,
albino,A L B I N O,albino,,,,,
aleja'ndra,A L E J AH N D R A,alejaqqndra,,,,,
alejandra,A L E J A N D R A,alejandra,,,,,
alejandría,A L E J A N D R IH A,alejandriqa,,,,,
alejandro,A L E J A N D R O,alejandro,,,,,
alelí,A L E L IH,aleliq,,,,,
aleyda,A L E Y D A,aleyda,,,,,
alfa,A L F A,alfa,,,,,
alfarero,A L F A R E R O,alfarero,,,,,
alfareru,A L F A R E R U,alfareru,,,,,
alfeo,A L F E O,alfeo,,,,,
alfonsa,A L F O N S A,alfonsa,,,,,
alias,A L I A S,alias,,,,,
alina,A L I N A,alina ,,,,,
alma,A L M A,alma,,,,,
almuhada,A L M U A D A,almuhada,,,,,
áloe,AH L O E,aqloe,,,,,
alonso,A L O N S O,alonso,,,,,
alta,A L T A,alta,,,,,
altar,A L T A R,altar,,,,,
ama,A M A,ama,,,,,
amá,A M AH,amaq,,,,,
amable,A M A B L E,amable,,,,,
amadeo,A M A D E O,amadeo,,,,,
amadeu,A M A D E U,amadeu,,,,,
amaina,A M A I N A,amaina,,,,,
amatista,A M A T I S T A,amatista,,,,,
amelia,A M E L I A ,amelia,,,,,
amén,A M EH N,ameqn,,,,,
amenaza,A M E N A Z A,amenaza,,,,,
amenazárcabe,A M E N A Z AH R K A B E,amenazaqrcabe,,,,,
amenazarnu,A M E N A Z A R N U,amenazarnu,,,,,
amigos,A M I G O S,amigos,,,,,
amigu,A M I G U,amigu,,,,,
aminadab,A M I N A D A B,aminadab,,,,,
amistad,A M I S T A D ,amistad,,,,,
amor,A M O R,amor,,,,,
ampliato,A M P L I A T O,ampliato,,,,,
amuletu,A M U L E T U,amuletu,,,,,
ana,A N A,ana,,,,,
anaga,A N A G A,anaga,,,,,
ananías,A N A N IH A S,ananiqas,,,,,
anás,A N AH S,anaqs,,,,,
ancianu,A N S I A N U,ancianu,,,,,
ancla,A N K L A,ancla,,,,,
anda,A N D A,anda,,,,,
andariego,A N D A R I E G O,andariego,,,,,
andres,A N D R E S,andres,,,,,
andrés,A N D R EH S,andreqs,,,,,
andrónico,A N D R OH N I K O,androqnico,,,,,
anfípolis,A N F IH P O L I S,anfiqpolis,,,,,
angel,A N J E L,angel,,,,,
ángel,AH N J E L,aqngel,,,,,
angela,A N J E L A,angela,,,,,
animal,A N I M A L,animal,,,,,
aníu,A N IH U,aniqu,,,,,
ánna,AH NL A,aqnna,,,,,
ánnaga,AH NL A G A,aqnnaga,,,,,
ansiedad,A N S I E D A D,ansiedad,,,,,
ante,A N T E,ante,,,,,
anticristu,A N T I K R I S T U,anticristu,,,,,
antioquía,A N T I O K IH A,antiokiqa,,,,,
antipas,A N T I P A S,antipas,,,,,
antípatris,A N T IH P A T R I S,antiqpatris,,,,,
antonia,A N T O N I A,antonia,,,,,
antonino,A N T O N I N O,antonino ,,,,,
antonio,A N T O N I O,antonio,,,,,
antorcha,A N T O R CH A,antorcha,,,,,
anzuelu,A N Z U E L U,anzuelu,,,,,
año,A GN O,anwo,,,,,
apa,A P A,apa,,,,,
apá,A P AH,apaq,,,,,
aparte,A P A R T E,aparte,,,,,
apeles,A P E L E S,apeles,,,,,
apena,A P E N A,apena,,,,,
apio,A P I O,apio,,,,,
apolión,A P O L I OH N,apolioqn,,,,,
apolonia,A P O L O N I A,apolonia,,,,,
apolos,A P O L O S,apolos,,,,,
apóstol,A P OH S T O L,apoqstol,,,,,
apoyar,A P O Y A R,apoyar,,,,,
aprendiq,A P R E N D IH,,,,,,
aprobar,A P R O B A R,aprobar,,,,,
aprovechar,A P R O B E CH A R,aprovechar,,,,,
aque,A K E,ake,,,,,
áquila,AH K I L A,aqkila,,,,,
aquile,A K I L E,akile,,,,,
aquino,A K I N O,akino,,,,,
arabia,A R A B I A,arabia,,,,,
araceli,A R A S E L I,araceli,,,,,
aradu,A R A D U,aradu,,,,,
arbol,A R B O L ,arbol,,,,,
arca,A R K A,arca,,,,,
arcángel,A R K AH N J E L,arcaqngel,,,,,
arcoíris,A R K O IH R I S,arcoiqris,,,,,
arcu,A R K U,arcu,,,,,
areli,A R E L I,areli,,,,,
areópago,A R E OH P A G O,areoqpago,,,,,
aretas,A R E T A S,aretas,,,,,
arí',A R IH ,ariqqq,,,,,
arimatea,A R I M A T E A,arimatea,,,,,
aristarco,A R I S T A R K O,aristarco,,,,,
aristóbulo,A R I S T OH B U L O,aristoqbulo,,,,,
arjona,A R J O N A,arjona,,,,,
armadura,A R M A D U R A,armadura,,,,,
armagedón,A R M A J E D OH N,armagedoqn,,,,,
armar,A R M A R,armar,,,,,
armardu,A R M A R D U,armardu,,,,,
arní,A R N IH,arniq,,,,,
aronda',A R O N D AH,arondaqq,,,,,
arpa,A R P A,arpa,,,,,
arpaksad,A R P A K S A D,arpaksad,,,,,
arrepentidu,A RF E P E N T I D U,arrepentidu,,,,,
arrepentir,A RF E P E N T I R,arrepentir,,,,,
arrepentirbe,A RF E P E N T I R B E,arrepentirbe,,,,,
arrepentirca',A RF E P E N T I R K AH,arrepentircaqq,,,,,
arrepentírcabe,A RF E P E N T IH R K A B E,arrepentiqrcabe,,,,,
arrepentirlu',A RF E P E N T I R L UH,arrepentirluqq,,,,,
